SourceFile,ElementType,Name,Type,ReturnType,Symbol,Path,Description,Parameters
BuiltInVariables.xml,Variable,A_Desktop,String,,,,The full path and name of the current user's desktop folder. For example: C:\Users\YourName\Desktop,
BuiltInVariables.xml,Variable,A_DesktopCommon,String,,,,The full path and name of the all-users desktop folder. For example: C:\Users\Public\Desktop,
BuiltInVariables.xml,Variable,A_IsAdmin,Integer,,,,"Contains 1 if the current user has admin rights, otherwise 0.",
BuiltInVariables.xml,Variable,A_AppData,String,,,,The full path and name of the folder containing the current user's application-specific data.,
BuiltInVariables.xml,Variable,A_AppDataCommon,String,,,,The full path and name of the folder containing the all-users application-specific data.,
BuiltInVariables.xml,Variable,A_ComputerName,String,,,,The name of the computer as seen on the network.,
BuiltInVariables.xml,Variable,A_UserName,String,,,,The logon name of the user who launched this script.,
BuiltInVariables.xml,Variable,A_WinDir,String,,,,The Windows directory. For example: C:\Windows,
BuiltInVariables.xml,Variable,A_ProgramFiles,String,,,,The Program Files directory (e.g. C:\Program Files or C:\Program Files (x86)). This is usually the same as the ProgramFiles environment variable.,
BuiltInVariables.xml,Variable,A_Temp,String,,,,The full path and name of the folder designated to hold temporary files.,
BuiltInVariables.xml,Variable,A_WorkingDir,String,,,,"Can be used to get or set the script's current working directory, which is where files will be accessed by default.",
Classes.xml,Method,.Base,,Prototype,,,; Retrieves the value's base object.,
Directives.xml,Directive,#ClipboardTimeout,,,,,Changes how long the script keeps trying to access the clipboard when the first attempt fails.,Required Milliseconds(Unknown)
Directives.xml,Directive,#DllLoad,,,,,Loads a DLL or EXE file before the script starts executing.,Optional FileOrDirName(Unknown)
Directives.xml,Directive,#ErrorStdOut,,,,,Sends any syntax error that prevents a script from launching to the standard error stream (stderr) rather than displaying a dialog.,Optional Encoding(Unknown)
Directives.xml,Directive,#Hotstring,,,,,Changes hotstring options or ending characters.,Required NoMouse(Unknown)
Directives.xml,Directive,#Hotstring,,,,,Changes hotstring options or ending characters.,Required EndChars NewChars(Unknown)
Directives.xml,Directive,#Hotstring,,,,,Changes hotstring options or ending characters.,Required NewOptions(Unknown)
Directives.xml,Directive,#HotIf,,,,,Creates context-sensitive hotkeys and hotstrings. Such hotkeys perform a different action (or none at all) depending on any condition (an expression).,Optional Expression(Unknown)
Directives.xml,Directive,#HotIfTimeout,,,,,Sets the maximum time that may be spent evaluating a single #HotIf expression.,Required Timeout(Unknown)
Directives.xml,Directive,#Include,,,,,Causes the script to behave as though the specified file's contents are present at this exact position.,Required FileOrDirName(Unknown)
Directives.xml,Directive,#Include,,,,,Causes the script to behave as though the specified file's contents are present at this exact position.,Required LibName(Unknown)
Directives.xml,Directive,#IncludeAgain,,,,,Causes the script to behave as though the specified file's contents are present at this exact position.,Required FileOrDirName(Unknown)
Directives.xml,Directive,#InputLevel,,,,,Controls which artificial keyboard and mouse events are ignored by hotkeys and hotstrings.,Optional Level(Unknown)
Directives.xml,Directive,#MaxThreads,,,,,Sets the maximum number of simultaneous threads.,Required Value(Unknown)
Directives.xml,Directive,#MaxThreadsBuffer,,,,,Causes some or all hotkeys to buffer rather than ignore keypresses when their #MaxThreadsPerHotkey limit has been reached.,Optional Setting(Unknown)
Directives.xml,Directive,#MaxThreadsPerHotkey,,,,,Sets the maximum number of simultaneous threads per hotkey or hotstring.,Required Value(Unknown)
Directives.xml,Directive,#NoTrayIcon,,,,,Disables the showing of a tray icon.,
Directives.xml,Directive,#Requires,,,,,Displays an error and quits if a version requirement is not met.,Required Requirement(Unknown)
Directives.xml,Directive,#SingleInstance,,,,,Determines whether a script is allowed to run again when it is already running.,Optional ForceIgnorePromptOff(Unknown)
Directives.xml,Directive,#SuspendExempt,,,,,Exempts subsequent hotkeys and hotstrings from suspension.,Optional Setting(Unknown)
Directives.xml,Directive,#UseHook,,,,,Forces the use of the hook to implement all or some keyboard hotkeys.,Optional Setting(Unknown)
Directives.xml,Directive,#Warn,,,,,"Enables or disables warnings for specific conditions which may indicate an error, such as a typo or missing ""global"" declaration.",Required [WarningType(Unknown); Required WarningMode](Unknown)
Directives.xml,Directive,#WinActivateForce,,,,,Skips the gentle method of activating a window and goes straight to the forceful method.,
FlowControls.xml,FlowControl,Break,,,,,,Optional label(Unknown)
FlowControls.xml,FlowControl,Catch,,,,,,
FlowControls.xml,FlowControl,Continue,,,,,,Optional LoopLabel(Unknown)
FlowControls.xml,FlowControl,Else,,,,,,
FlowControls.xml,FlowControl,Finally,,,,,,
FlowControls.xml,FlowControl,For,,,,,,
FlowControls.xml,FlowControl,Goto,,,,,,Required Label(Unknown)
FlowControls.xml,FlowControl,If,,,,,,
FlowControls.xml,FlowControl,Loop,,,,,,Optional Count(Unknown)
FlowControls.xml,FlowControl,Loop,,,,,,
