"Name","CommandType","Source"
"Add-AppPackage","Alias","Appx"
"Add-AppPackageVolume","Alias","Appx"
"Add-AppProvisionedPackage","Alias","Dism"
"Add-MsixPackage","Alias","Appx"
"Add-MsixPackageVolume","Alias","Appx"
"Add-MsixVolume","Alias","Appx"
"Add-ProvisionedAppPackage","Alias","Dism"
"Add-ProvisionedAppSharedPackageContainer","Alias","Dism"
"Add-ProvisionedAppxPackage","Alias","Dism"
"Add-ProvisioningPackage","Alias","Provisioning"
"Add-TrustedProvisioningCertificate","Alias","Provisioning"
"Apply-WindowsUnattend","Alias","Dism"
"Disable-PhysicalDiskIndication","Alias","Storage"
"Disable-PhysicalDiskIndication","Alias","VMDirectStorage"
"Disable-StorageDiagnosticLog","Alias","Storage"
"Disable-StorageDiagnosticLog","Alias","VMDirectStorage"
"Dismount-AppPackageVolume","Alias","Appx"
"Dismount-MsixPackageVolume","Alias","Appx"
"Dismount-MsixVolume","Alias","Appx"
"Enable-PhysicalDiskIndication","Alias","Storage"
"Enable-PhysicalDiskIndication","Alias","VMDirectStorage"
"Enable-StorageDiagnosticLog","Alias","Storage"
"Enable-StorageDiagnosticLog","Alias","VMDirectStorage"
"Export-VMCheckpoint","Alias","Hyper-V"
"Export-VMCheckpoint","Alias","VMDirectStorage"
"Flush-Volume","Alias","Storage"
"Flush-Volume","Alias","VMDirectStorage"
"Get-AppPackage","Alias","Appx"
"Get-AppPackageAutoUpdateSettings","Alias","Appx"
"Get-AppPackageDefaultVolume","Alias","Appx"
"Get-AppPackageLastError","Alias","Appx"
"Get-AppPackageLog","Alias","Appx"
"Get-AppPackageManifest","Alias","Appx"
"Get-AppPackageVolume","Alias","Appx"
"Get-AppProvisionedPackage","Alias","Dism"
"Get-DiskSNV","Alias","Storage"
"Get-DiskSNV","Alias","VMDirectStorage"
"Get-Language","Alias","LanguagePackManagement"
"Get-MsixDefaultVolume","Alias","Appx"
"Get-MsixLastError","Alias","Appx"
"Get-MsixLog","Alias","Appx"
"Get-MsixPackage","Alias","Appx"
"Get-MsixPackageAutoUpdateSettings","Alias","Appx"
"Get-MsixPackageDefaultVolume","Alias","Appx"
"Get-MsixPackageLastError","Alias","Appx"
"Get-MsixPackageLog","Alias","Appx"
"Get-MsixPackageManifest","Alias","Appx"
"Get-MsixPackageVolume","Alias","Appx"
"Get-MsixVolume","Alias","Appx"
"Get-PhysicalDiskSNV","Alias","Storage"
"Get-PhysicalDiskSNV","Alias","VMDirectStorage"
"Get-PreferredLanguage","Alias","LanguagePackManagement"
"Get-ProvisionedAppPackage","Alias","Dism"
"Get-ProvisionedAppSharedPackageContainer","Alias","Dism"
"Get-ProvisionedAppxPackage","Alias","Dism"
"Get-PSResource","Alias","Microsoft.PowerShell.PSResourceGet"
"Get-StorageEnclosureSNV","Alias","Storage"
"Get-StorageEnclosureSNV","Alias","VMDirectStorage"
"Get-SystemLanguage","Alias","LanguagePackManagement"
"Get-VMCheckpoint","Alias","Hyper-V"
"Get-VMCheckpoint","Alias","VMDirectStorage"
"Initialize-Volume","Alias","Storage"
"Initialize-Volume","Alias","VMDirectStorage"
"Mount-AppPackageVolume","Alias","Appx"
"Mount-MsixPackageVolume","Alias","Appx"
"Mount-MsixVolume","Alias","Appx"
"Move-AppPackage","Alias","Appx"
"Move-MsixPackage","Alias","Appx"
"Move-SmbClient","Alias","SmbWitness"
"Optimize-AppProvisionedPackages","Alias","Dism"
"Optimize-ProvisionedAppPackages","Alias","Dism"
"Optimize-ProvisionedAppxPackages","Alias","Dism"
"Remove-AppPackage","Alias","Appx"
"Remove-AppPackageAutoUpdateSettings","Alias","Appx"
"Remove-AppPackageVolume","Alias","Appx"
"Remove-AppProvisionedPackage","Alias","Dism"
"Remove-EtwTraceSession","Alias","EventTracingManagement"
"Remove-MsixPackage","Alias","Appx"
"Remove-MsixPackageAutoUpdateSettings","Alias","Appx"
"Remove-MsixPackageVolume","Alias","Appx"
"Remove-MsixVolume","Alias","Appx"
"Remove-ProvisionedAppPackage","Alias","Dism"
"Remove-ProvisionedAppSharedPackageContainer","Alias","Dism"
"Remove-ProvisionedAppxPackage","Alias","Dism"
"Remove-ProvisioningPackage","Alias","Provisioning"
"Remove-TrustedProvisioningCertificate","Alias","Provisioning"
"Remove-VMCheckpoint","Alias","Hyper-V"
"Remove-VMCheckpoint","Alias","VMDirectStorage"
"Rename-VMCheckpoint","Alias","Hyper-V"
"Rename-VMCheckpoint","Alias","VMDirectStorage"
"Reset-AppPackage","Alias","Appx"
"Reset-MsixPackage","Alias","Appx"
"Restore-VMCheckpoint","Alias","Hyper-V"
"Restore-VMCheckpoint","Alias","VMDirectStorage"
"Set-AppPackageAutoUpdateSettings","Alias","Appx"
"Set-AppPackageDefaultVolume","Alias","Appx"
"Set-AppPackageProvisionedDataFile","Alias","Dism"
"Set-AutologgerConfig","Alias","EventTracingManagement"
"Set-EtwTraceSession","Alias","EventTracingManagement"
"Set-MsixDefaultVolume","Alias","Appx"
"Set-MsixPackageAutoUpdateSettings","Alias","Appx"
"Set-MsixPackageDefaultVolume","Alias","Appx"
"Set-PreferredLanguage","Alias","LanguagePackManagement"
"Set-ProvisionedAppPackageDataFile","Alias","Dism"
"Set-ProvisionedAppXDataFile","Alias","Dism"
"Set-SystemLanguage","Alias","LanguagePackManagement"
"Start-ThreadJob","Alias","ThreadJob"
"Write-FileSystemCache","Alias","Storage"
"Write-FileSystemCache","Alias","VMDirectStorage"
"A:","Function",""
"Add-BCDataCacheExtension","Function","BranchCache"
"Add-BitLockerKeyProtector","Function","BitLocker"
"Add-DnsClientDohServerAddress","Function","DnsClient"
